 khôg , không 
 cta , chúng ta 
 mih , mình 
 nhữg , những 
 mng , mọi người 
 qtam , quan tâm 
 thươg , thương 
 qtâm , quan tâm 
 chug , chung 
 thoy , thôi 
 đki  , đăng ký 
 ạk , ạ 
 cùg , cùng 
 pn , bạn 
 pjt , biết 
 thjk , thích 
 ktra , kiểm tra 
 nek , nè 
 cgái , con gái 
 nthe , như thế 
 chúg , chúng 
 kái , cái 
 tìh , tình 
 phòg , phòng 
 lòg , lòng 
 từg , từng 
 rằg , rằng 
 sốg , sống 
 thuj , thôi 
 thuơng , thương 
 càg , càng 
 đky , đăng ký 
 bằg , bằng 
 sviên , sinh viên 
 ák , á 
 đág , đáng 
 nvay , như vậy 
 nhjeu , nhiều 
 xg , xuống 
 zồi , rồi 
 trag , trang 
 zữ , dữ 
 kte , kinh tế 
 độg , động 
 gắg , gắng 
 đzai , đẹp trai 
 thgian , thời gian 
 plz , please 
 đồg , đồng 
 btrai , bạn trai 
 nthê , như thế 
 hìhì , hì hì 
 vọg , vọng 
 hihe  , hi he 
 đôg , đông 
 răg , răng 
 thườg , thường 
 đứg , đứng 
 ksao , không sao 
 hjxhjx , hix hix 
 xuốg , xuống 
 nkư , như 
 lquan , liên quan 
 tiếg , tiếng 
 hajz , hai 
 xih , xinh 
 hìh , hình 
 thàh , thành 
 ngke , nghe 
 dzậy , dậy 
 tnào , thế nào 
 tưởg , tưởng 
 ctrinh , chương trình 
 phog , phong 
 hôg , không 
 zìa , gì 
 kũg , cũng 
 ntnao , như thế nào 
 trọg , trọng 
 nthế , như thế 
 năg , năng 
 ngđó , người đó 
 lquen , làm quen 
 riêg , riêng 
 ngag , ngang 
 hêhê , hê hê 
 bnhiu , bao nhiêu 
 bnhieu , bao nhiêu 
 ngốk , ngốc 
 kậu , cậu 
 kqua , kết quả 
 htrc , hôm trước 
 địh , định 
 gđình , gia đinh 
 giốg , giống 
 csống , cuộc sống 
 zùi , rồi 
 bnhiêu , bao nhiêu 
 cbị , chuẩn bị 
 kòn , còn 
 buôg , buông 
 ngàh , ngành 
 llac , liên lạc 
 nkưng , nhưng 
 tíh , tính 
 khoảg , khoảng 
 thík , thích 
 thẳg , thẳng 
 kảm , cảm 
 dàh , dành 
 júp , giúp 
 lặg , lặng
 vđê , vấn đề 
 bbè , bạn bè 
 bóg , bóng 
 dky , đăng ký 
 dòg , dòng 
 uốg , uống 
 đthoại , điện thoại 
 cviec , công việc 
 tượg , tượng 
 qà , quà 
 thjc , thích 
 nhưq , nhưng 
 bthường , bình thường 
 zà , già 
 đáh , đánh 
 xloi , xin lỗi 
 zám , dám 
 qtrọng , quan trọng 
 bìh , bình 
 lzi , làm gì 
 qhệ , quan hệ 
 đhbkhn , đại học bách khoa hà nội 
 hajzz , hai 
 kủa , của 
 lz , làm gì 
 đhkhtn , đại học khoa học tự nhiên 
 đóg , đóng 
 lgi , làm gì 
 nvậy , như vậy 
 qả , quả 
 đkiện , điều kiện 
 nèk , nè 
 tlai , tương lai 
 vde , vấn đề 
 chta , chúng ta 
 òy , rồi 
 ltinh , linh tinh 
 ngyeu , người yêu 
 đthoai , điện thoại 
 snghĩ , suy nghĩ 
 nặg , nặng 
 họk , học 
 dừg , dừng 
 hphúc , hạnh phúc 
 hiha , hi ha 
 wtâm , quan tâm 
 thíck , thích 
 chuện , chuyện 
 lạh , lạnh 
 fây , phây 
 ntnày , như thế này 
 lúk , lúc 
 haj , hai 
 ngía , nghía 
 mớj , mới 
 hsơ , hồ sơ 
 ctraj , con trai 
 nyêu , người yêu 
 điiiiiii , đi 
 rồii , rồi 
 c , chị 
 kih , kinh 
 kb , kết bạn 
 hixxx , hích 
 dthương , dễ thương 
 nhiềuuu , nhiều 
 ctrình , chương trình 
 mìnk , mình 
 mjh , mình 
 ng , người 
 uhm , ừm 
 thỳ , thì 
 tks , thanks 
 thôii , thôi 
 đjên , điên 
 vớii , với 
 đhọc , đại học 
 mk , mình 
 bn , bạn 
 thik , thích 
 cj , chị 
 mn , mọi người 
 nguoi , người 
 nógn , nóng 
 hok , không 
 ko , không 
 bik , biết 
 vs , với 
 cx , cũng 
 mik , mình 
 đc , được 
 cmt , comment 
 ngta , người ta 
 gđ , gia đình 
 oh , ồ 
 ae , anh em 
 ah , à 
 ạh , ạ 
 rì , gì 
 ms , mới 
 vn , việt nam 
 nhaa , nha 
 cũg , cũng 
 đag , đang 
 ơiii , ơi 
 hic , hích 
 àk , à 
 uh , ừ 
 ơiiii , ơi 
 hnay , hôm nay 
 ukm , ừm 
 ctr , chương trình 
 đii , đi 
 nch , nói chuyện 
 trieu , triệu 
 hahah , ha ha 
 nta , người ta 
 ngèo , nghèo 
 kêh , kênh 
 ak , à 
 ad , admin 
 j , gì 
 dc , được 
 qc , quảng cáo 
 baoh , bao giờ 
 zui , vui 
 zẻ , vẻ 
 tym , tim 
 fb , facebook 
 insta , instagram 
 z , vậy 
 thich , thích 
 đt , điện thoại 
 acc , account 
 trc , trước 
 qá , quá 
 ntn , như thế nào 
 wá , quá 
 zậy , vậy 
 zô , vô 
 ytb , youtube 
 xl , xin lỗi 
 face , facebook 
 hjhj , hi hi 
 vv , vui vẻ 
 ns , nói 
 iu , yêu 
 in4 , info 
 kh , không 
 zạ , vậy 
 oy , rồi 
 jo , giờ 
 troai , trai 
 wa , quá 
 hjx , hix 
 e , em 
 ik , ý 
 ji , gì 
 lm , làm 
 sr , sorry 
 ib , inbox 
 hoy , thôi 
 k , không 
 vd , ví dụ 
 a , anh 
 cũng z , cũng vậy 
 z là , vậy là 
 unf , unfriend 
 my fen , my friend 
 fen , friend 
 cty , công ty 
 on lai , online 
 kô , không 
 hqua , hôm qua 
 xog , xong 
 uh , ừ 
 uk , ừ 
 nhoé , nhé 
 biet , biết 
 quí , quý 
 stk , số tài khoản 
 đươc , được 
 nghành , ngành 
 ngừoi , người 
 trog , trong 
 tgian , thời gian 
 biêt , biết 
 fải , phải 
 nguời , người 
 bth , bình thường 
 khg , không 
 nhưg , nhưng 
 đuợc , được 
 dc , được 
 đc , được 
 ah , à 
 àh , à 
 onl , online 
 zô , dô 
 cmnd , chứng minh nhân dân 
 sđt , số điện thoại 
 klq , không liên quan 
